	title	body	date	fake	source
0	É #FAKE que Peru suspendeu testes com CoronaVac por problemas neurológicos em um voluntário	Imunizante que gerou reação adversa não foi o da empresa Sinovac, mas o de outro laboratório chinês, o Sinopharm, que não está em teste no Brasil. A CoronaVac, por sua vez, não é testada no Peru.	Há 2 dias	1	https://g1.globo.com/fato-ou-fake/coronavirus/
1	É #FAKE que imagens de primeira vacinada no Reino Unido foram feitas dois meses antes de serem divulgadas ao público	Autor de mensagem falsa fez print de vídeo da CNN de dezembro rodando em página com data de outubro para sugerir uma manipulação. Ocorre que a galeria de vídeos no site é atualizada mesmo em reportagens antigas.	Há 4 dias	1	https://g1.globo.com/fato-ou-fake/coronavirus/
2	É #FAKE que SP gastará para vacinar população do estado mais de 3 vezes o que governo federal estima gastar em todo o país	Valor previsto para primeira fase do plano de vacinação é de US$ 185 milhões (ou R$ 945 milhões), referentes a 18 milhões de doses da CoronaVac. Boato diz que valor será de R$ 22 bilhões.	Há 4 dias	1	https://g1.globo.com/fato-ou-fake/coronavirus/
3	É #FAKE que pandemia do novo coronavírus é uma farsa e que se assemelha a uma temporada ruim de gripe	Mensagem viral reúne uma série de declarações infundadas feitas por patologista. Especialistas e entidades dizem que as afirmações são totalmente falsas.	Há 1 semana	1	https://g1.globo.com/fato-ou-fake/coronavirus/
4	É #FAKE que laboratório de Wuhan e Pfizer sejam de propriedade da farmacêutica Glaxo	Instituto de Virologia mencionado não é privado, e sim do governo chinês; Pfizer e Glaxo são multinacionais concorrentes.	Há 1 semana	1	https://g1.globo.com/fato-ou-fake/coronavirus/
5	É #FAKE que máscaras podem causar quadro de acúmulo de água no pulmão	Texto que circula na internet aponta malefícios à saúde inexistentes com uso da proteção.	Há 1 semana	1	https://g1.globo.com/fato-ou-fake/coronavirus/
6	É #FAKE que imagem mostre ferimentos causados pela vacina da Pfizer e da BioNTech em pés de voluntária nos EUA	Ela estava no grupo que recebeu placebo, e não a vacina. Ferimentos nos pés podem ter sido provocados pelo uso do Ibuprofeno.	Há 1 semana	1	https://g1.globo.com/fato-ou-fake/coronavirus/
7	É #FAKE que vacina das farmacêuticas Pfizer e BioNTech para Covid-19 cause infertilidade em mulheres	Mensagem falsa compartilhada nas redes sociais se baseia em informações erradas sobre proteína do coronavírus.	Há 1 semana	1	https://g1.globo.com/fato-ou-fake/coronavirus/
8	É #FAKE que escovas de dentes de pacientes com a Covid-19 podem reter o coronavírus ativo e reinfectá-los	Vírus não sobrevive após seguidas escovações, afirmam infectologistas entrevistados pela CBN.	Há 2 semanas	1	https://g1.globo.com/fato-ou-fake/coronavirus/
9	É #FAKE que máscaras têm baixa filtragem de vírus e fazem 'mais mal do que bem'	Vídeo que tem viralizado propaga uma série de informações falsas sobre item de proteção; uso é preconizado pela OMS e obrigatório no Brasil.	Há 4 semanas	1	https://g1.globo.com/fato-ou-fake/coronavirus/
